scale	vertices	K0	K1	K2	K3
# C++ run on 2015-10-31 18:28:03 by bradley@ip-172-31-14-15
10	16384	1.81255e+06	1.78544e+06	3.08184e+06	5.05422e+08
11	32768	2.07092e+06	2.09309e+06	3.49637e+06	5.05424e+08
12	65536	2.44086e+06	2.80446e+06	4.48569e+06	6.82968e+08
13	131072	3.15031e+06	3.78684e+06	5.63549e+06	8.86353e+08
14	262144	3.70666e+06	4.14989e+06	5.38354e+06	8.50483e+08
15	524288	2.38447e+06	3.86619e+06	5.02091e+06	7.52994e+08
16	1048576	3.26207e+06	3.93028e+06	4.72647e+06	6.40697e+08
17	2097152	2.66677e+06	2.96522e+06	3.87909e+06	4.32715e+08
18	4194304	2.01029e+06	2.2493e+06	3.96084e+06	2.86333e+08
19	8388608	1.56107e+06	1.95034e+06	3.87966e+06	2.57089e+08
20	16777216	1.35937e+06	1.66434e+06	3.82621e+06	2.19769e+08
#scale	vertices	K0	K1	K2	K3
# C++ run on 2015-10-31 18:39:44 by bradley@ip-172-31-14-15
10	16384	1.79988e+06	1.77322e+06	3.08231e+06	5.06522e+08
11	32768	2.08878e+06	2.20685e+06	3.66865e+06	6.05243e+08
12	65536	2.52936e+06	2.89219e+06	4.55329e+06	7.15284e+08
13	131072	3.23641e+06	3.97678e+06	5.74101e+06	8.82122e+08
14	262144	3.71694e+06	4.16976e+06	5.38779e+06	8.34526e+08
15	524288	3.45535e+06	4.0466e+06	5.08406e+06	7.6359e+08
16	1048576	3.25811e+06	3.98658e+06	4.82423e+06	6.6203e+08
17	2097152	2.48698e+06	2.8158e+06	4.3998e+06	4.17604e+08
18	4194304	1.80254e+06	1.99992e+06	3.96515e+06	2.78067e+08
19	8388608	1.41981e+06	1.91287e+06	3.93145e+06	2.57949e+08
20	16777216	1.30472e+06	1.63979e+06	3.85054e+06	2.21021e+08
21	33554432	1.30279e+06	1.57351e+06	3.75979e+06	1.68271e+08
22	67108864	1.21572e+06	1.58041e+06	3.60814e+06	1.34803e+08
#scale	vertices	K0	K1	K2	K3
# C++ run on 2015-10-31 18:43:42 by bradley@ip-172-31-14-15
10	16384	1.83028e+06	1.79371e+06	3.11461e+06	4.18879e+08
11	32768	1.67373e+06	2.38209e+06	3.97434e+06	5.66792e+08
12	65536	2.39275e+06	3.04229e+06	4.82143e+06	7.4785e+08
13	131072	3.1899e+06	4.29333e+06	5.75358e+06	8.72855e+08
14	262144	3.79695e+06	4.20673e+06	5.38645e+06	8.15965e+08
15	524288	3.45862e+06	4.01551e+06	5.04472e+06	7.38179e+08
16	1048576	3.26854e+06	3.93419e+06	4.79001e+06	6.44793e+08
17	2097152	2.67111e+06	2.86758e+06	4.04261e+06	4.22342e+08
18	4194304	2.00374e+06	2.24046e+06	3.96584e+06	2.87105e+08
19	8388608	1.66788e+06	1.94532e+06	3.91784e+06	2.54869e+08
20	16777216	1.51617e+06	1.85924e+06	3.84123e+06	2.20004e+08
21	33554432	1.4118e+06	1.70211e+06	3.76029e+06	1.65327e+08
22	67108864	1.3476e+06	1.55329e+06	3.59458e+06	1.332e+08
#scale	vertices	K0	K1	K2	K3
# C++ run on 2015-10-31 18:47:28 by bradley@ip-172-31-14-15
10	16384	1.81909e+06	1.79963e+06	3.12864e+06	4.141e+08
11	32768	2.09174e+06	2.22515e+06	3.66995e+06	5.64972e+08
12	65536	2.52808e+06	2.90142e+06	4.57689e+06	6.97879e+08
13	131072	3.23095e+06	3.92539e+06	5.74787e+06	8.81294e+08
14	262144	3.70245e+06	4.13239e+06	5.35766e+06	8.48727e+08
15	524288	3.43558e+06	4.02171e+06	5.05531e+06	7.60466e+08
16	1048576	3.24407e+06	3.93132e+06	4.76032e+06	6.60758e+08
17	2097152	2.70539e+06	2.70767e+06	4.04723e+06	4.15876e+08
18	4194304	2.00992e+06	2.27951e+06	3.96565e+06	2.87259e+08
19	8388608	1.60201e+06	1.74518e+06	3.92348e+06	2.55551e+08
20	16777216	1.51037e+06	1.73193e+06	3.86972e+06	2.19023e+08
21	33554432	1.39445e+06	1.61663e+06	3.74505e+06	1.67988e+08
22	67108864	1.21878e+06	1.53941e+06	3.59145e+06	1.34186e+08
#scale	vertices	K0	K1	K2	K3
# C++ run on 2015-10-31 18:51:22 by bradley@ip-172-31-14-15
10	16384	1.83075e+06	1.79312e+06	3.13662e+06	4.17671e+08
11	32768	2.089e+06	2.22581e+06	3.69482e+06	5.62468e+08
12	65536	2.5405e+06	2.90379e+06	4.58302e+06	7.08757e+08
13	131072	3.2469e+06	3.96358e+06	5.72643e+06	8.80327e+08
14	262144	3.71775e+06	4.14849e+06	5.37802e+06	8.50377e+08
15	524288	3.45569e+06	4.04044e+06	5.0453e+06	7.56691e+08
16	1048576	3.25834e+06	3.95726e+06	4.8449e+06	6.53815e+08
17	2097152	2.71605e+06	2.91863e+06	4.04076e+06	3.48701e+08
18	4194304	1.93618e+06	2.28162e+06	3.95278e+06	2.90713e+08
19	8388608	1.68671e+06	1.95533e+06	3.91392e+06	2.53813e+08
20	16777216	1.48638e+06	1.41744e+06	3.84008e+06	2.19523e+08
21	33554432	1.14052e+06	1.65079e+06	3.73838e+06	1.68666e+08
22	67108864	1.50473e+06	1.61704e+06	3.5925e+06	1.35249e+08
#scale	vertices	K0	K1	K2	K3
# C++ run on 2015-10-31 18:55:10 by bradley@ip-172-31-14-15
10	16384	1.82071e+06	1.80053e+06	3.13951e+06	5.10783e+08
11	32768	2.07014e+06	2.23283e+06	3.68103e+06	5.6389e+08
12	65536	2.50927e+06	2.90877e+06	4.58358e+06	7.0678e+08
13	131072	3.12439e+06	3.86151e+06	5.66817e+06	8.75976e+08
14	262144	3.67713e+06	4.13644e+06	5.37083e+06	8.38759e+08
15	524288	3.40711e+06	4.01872e+06	5.05711e+06	7.49236e+08
16	1048576	3.21738e+06	3.94727e+06	4.77349e+06	6.55748e+08
17	2097152	2.65495e+06	2.93796e+06	4.05207e+06	4.18328e+08
18	4194304	1.96385e+06	2.2309e+06	3.95411e+06	2.86249e+08
19	8388608	1.61246e+06	1.70477e+06	3.92159e+06	2.49196e+08
20	16777216	1.55791e+06	1.83189e+06	3.81797e+06	2.19447e+08
21	33554432	1.41308e+06	1.59337e+06	3.70134e+06	1.69497e+08
22	67108864	1.31647e+06	1.53476e+06	3.59807e+06	1.3446e+08
#scale	vertices	K0	K1	K2	K3
# C++ run on 2015-10-31 18:59:00 by bradley@ip-172-31-14-15
10	16384	1.83817e+06	1.79819e+06	3.1358e+06	4.95396e+08
11	32768	2.08033e+06	2.22785e+06	3.68769e+06	5.43784e+08
12	65536	2.53501e+06	2.8982e+06	4.58367e+06	7.08265e+08
13	131072	3.23415e+06	3.96583e+06	5.73926e+06	8.63266e+08
14	262144	3.70436e+06	4.14723e+06	5.38313e+06	8.3375e+08
15	524288	3.44152e+06	2.21438e+06	3.43963e+06	7.03509e+08
16	1048576	3.24745e+06	3.9231e+06	4.72742e+06	6.5056e+08
17	2097152	2.66671e+06	3.02834e+06	4.03495e+06	4.25476e+08
18	4194304	1.84509e+06	2.18329e+06	3.95896e+06	2.89401e+08
19	8388608	1.59109e+06	1.74323e+06	3.92766e+06	2.49519e+08
20	16777216	1.38069e+06	1.70056e+06	3.84446e+06	2.217e+08
21	33554432	1.27629e+06	1.59969e+06	3.75512e+06	1.70591e+08
22	67108864	1.2763e+06	1.26992e+06	3.58778e+06	1.33486e+08
#scale	vertices	K0	K1	K2	K3
# C++ run on 2015-10-31 19:03:05 by bradley@ip-172-31-14-15
10	16384	1.98301e+06	1.93679e+06	3.333e+06	5.43186e+08
11	32768	2.19602e+06	2.33653e+06	3.82739e+06	5.98946e+08
12	65536	2.62258e+06	2.96787e+06	4.71317e+06	6.81977e+08
13	131072	3.25094e+06	3.89045e+06	5.71763e+06	8.46919e+08
14	262144	3.70678e+06	4.13299e+06	5.3699e+06	8.52963e+08
15	524288	3.43871e+06	4.0179e+06	5.04351e+06	7.51574e+08
16	1048576	3.25066e+06	3.9994e+06	4.83385e+06	6.31802e+08
17	2097152	2.62998e+06	2.90975e+06	4.05427e+06	4.07219e+08
18	4194304	1.98507e+06	2.19751e+06	3.95493e+06	2.85888e+08
19	8388608	1.39669e+06	1.63591e+06	3.88434e+06	2.57402e+08
20	16777216	1.39994e+06	1.80314e+06	3.83684e+06	2.21004e+08
21	33554432	1.32233e+06	1.65542e+06	3.74584e+06	1.69359e+08
22	67108864	1.45941e+06	1.53686e+06	3.59023e+06	1.35073e+08
#scale	vertices	K0	K1	K2	K3
# C++ run on 2015-10-31 19:06:52 by bradley@ip-172-31-14-15
10	16384	1.82839e+06	1.79811e+06	3.13448e+06	5.04598e+08
11	32768	2.07272e+06	2.09851e+06	3.51569e+06	5.34233e+08
12	65536	2.43152e+06	2.80232e+06	4.47073e+06	6.85364e+08
13	131072	3.14851e+06	3.77961e+06	5.60504e+06	8.74923e+08
14	262144	3.70315e+06	4.11991e+06	5.38204e+06	8.3141e+08
15	524288	3.4301e+06	4.04105e+06	5.05224e+06	7.60585e+08
16	1048576	3.24616e+06	3.95862e+06	4.75218e+06	6.53482e+08
17	2097152	2.63156e+06	2.69453e+06	4.03037e+06	4.15419e+08
18	4194304	1.87485e+06	1.90339e+06	3.93937e+06	2.89481e+08
19	8388608	1.36277e+06	1.72992e+06	3.89008e+06	2.57451e+08
20	16777216	1.29224e+06	1.73099e+06	3.83197e+06	2.15077e+08
21	33554432	1.40581e+06	1.69522e+06	3.73857e+06	1.69519e+08
22	67108864	1.26278e+06	1.51184e+06	3.59042e+06	1.32494e+08
#scale	vertices	K0	K1	K2	K3
# C++ run on 2015-10-31 19:10:48 by bradley@ip-172-31-14-15
10	16384	1.82813e+06	1.79989e+06	3.11393e+06	4.75277e+08
11	32768	1.65909e+06	2.39014e+06	3.95561e+06	5.89859e+08
12	65536	2.443e+06	2.98563e+06	4.81644e+06	7.43619e+08
13	131072	3.18129e+06	4.00916e+06	5.73087e+06	8.80372e+08
14	262144	3.70105e+06	4.05134e+06	5.37735e+06	8.49607e+08
15	524288	3.44221e+06	3.97019e+06	5.05913e+06	7.56901e+08
16	1048576	3.24969e+06	3.94499e+06	4.75291e+06	6.56508e+08
17	2097152	2.63146e+06	2.85098e+06	3.95467e+06	4.14797e+08
18	4194304	2.00576e+06	2.10643e+06	3.94254e+06	2.86048e+08
19	8388608	1.29755e+06	1.80865e+06	3.88519e+06	2.56659e+08
20	16777216	1.55423e+06	1.84495e+06	3.83048e+06	2.19248e+08
21	33554432	1.2142e+06	1.4616e+06	3.74114e+06	1.69366e+08
22	67108864	1.32308e+06	1.32822e+06	3.5981e+06	1.34547e+08
#scale	vertices	K0	K1	K2	K3
# C++ run on 2015-10-31 19:14:50 by bradley@ip-172-31-14-15
10	16384	1.78935e+06	1.72307e+06	2.9068e+06	5.05252e+08
11	32768	2.03731e+06	2.15768e+06	3.58052e+06	5.00908e+08
12	65536	2.48984e+06	2.86187e+06	4.54087e+06	6.91495e+08
13	131072	3.20798e+06	3.93077e+06	5.70083e+06	8.77235e+08
14	262144	3.71132e+06	4.14208e+06	5.38939e+06	8.55342e+08
15	524288	3.45326e+06	4.03814e+06	5.05814e+06	7.46732e+08
16	1048576	3.25991e+06	3.93858e+06	4.74842e+06	6.55505e+08
17	2097152	2.67227e+06	2.93477e+06	4.50724e+06	4.1036e+08
18	4194304	1.97998e+06	2.07864e+06	3.92531e+06	2.903e+08
19	8388608	1.70684e+06	1.84292e+06	3.90249e+06	2.59037e+08
20	16777216	1.52812e+06	1.77346e+06	3.82879e+06	2.20525e+08
21	33554432	1.37369e+06	1.67135e+06	3.73052e+06	1.69194e+08
22	67108864	1.16646e+06	1.61051e+06	3.59256e+06	1.33727e+08
#scale	vertices	K0	K1	K2	K3
# C++ run on 2015-10-31 19:18:44 by bradley@ip-172-31-14-15
10	16384	1.84143e+06	1.79893e+06	3.11735e+06	4.15886e+08
11	32768	2.10163e+06	2.22711e+06	3.68935e+06	5.61629e+08
12	65536	2.54069e+06	2.90134e+06	4.59023e+06	7.1348e+08
13	131072	3.15389e+06	3.85264e+06	5.70508e+06	8.54986e+08
14	262144	3.71637e+06	4.14089e+06	5.39788e+06	8.58034e+08
15	524288	3.45365e+06	4.03352e+06	5.04322e+06	7.66215e+08
16	1048576	3.24995e+06	3.95893e+06	4.75151e+06	6.67133e+08
17	2097152	2.57565e+06	2.21634e+06	4.00159e+06	3.96897e+08
18	4194304	1.48013e+06	1.80244e+06	3.93252e+06	2.86982e+08
19	8388608	1.42705e+06	1.94638e+06	3.91568e+06	2.50148e+08
20	16777216	1.37474e+06	1.44122e+06	3.8337e+06	2.16379e+08
21	33554432	1.27188e+06	1.47433e+06	3.7531e+06	1.66131e+08
22	67108864	1.3285e+06	1.32342e+06	3.59171e+06	1.33509e+08
#scale	vertices	K0	K1	K2	K3
# C++ run on 2015-10-31 19:22:50 by bradley@ip-172-31-14-15
10	16384	1.82749e+06	1.78818e+06	3.12927e+06	5.08359e+08
11	32768	2.06731e+06	2.0991e+06	3.51144e+06	5.3455e+08
12	65536	2.43729e+06	2.80628e+06	4.48197e+06	6.88784e+08
13	131072	3.09785e+06	3.67052e+06	5.46889e+06	8.648e+08
14	262144	3.71491e+06	4.15151e+06	5.41531e+06	8.43983e+08
15	524288	3.44224e+06	4.03104e+06	5.06153e+06	7.68827e+08
16	1048576	3.248e+06	3.94095e+06	4.76555e+06	6.66034e+08
17	2097152	2.68212e+06	2.9159e+06	3.8566e+06	4.11446e+08
18	4194304	1.97758e+06	2.29864e+06	3.94446e+06	2.83085e+08
19	8388608	1.65473e+06	1.93389e+06	3.92549e+06	2.55791e+08
20	16777216	1.54795e+06	1.8403e+06	3.82518e+06	2.19251e+08
21	33554432	1.4473e+06	1.65842e+06	3.75494e+06	1.67706e+08
22	67108864	1.3697e+06	1.61992e+06	3.60125e+06	1.30332e+08
#scale	vertices	K0	K1	K2	K3
# C++ run on 2015-10-31 19:26:33 by bradley@ip-172-31-14-15
10	16384	1.84341e+06	1.80102e+06	3.13632e+06	5.12351e+08
11	32768	2.09698e+06	2.2292e+06	3.68489e+06	5.58677e+08
12	65536	2.53694e+06	2.9049e+06	4.58299e+06	7.24039e+08
13	131072	3.2077e+06	3.84248e+06	5.67632e+06	8.74486e+08
14	262144	3.71357e+06	4.13955e+06	5.39631e+06	8.38765e+08
15	524288	3.44714e+06	4.02666e+06	5.06209e+06	7.61413e+08
16	1048576	3.256e+06	3.94746e+06	4.7755e+06	6.49859e+08
17	2097152	2.70002e+06	2.93754e+06	4.051e+06	4.15072e+08
18	4194304	1.88339e+06	2.13906e+06	3.94485e+06	2.89769e+08
19	8388608	1.72878e+06	1.87428e+06	3.92391e+06	2.57263e+08
20	16777216	1.3059e+06	1.49944e+06	3.84607e+06	2.21276e+08
21	33554432	1.217e+06	1.47128e+06	3.76027e+06	1.69898e+08
22	67108864	1.27113e+06	1.44835e+06	3.60063e+06	1.34082e+08
#scale	vertices	K0	K1	K2	K3
# C++ run on 2015-10-31 19:30:36 by bradley@ip-172-31-14-15
10	16384	1.84104e+06	1.79888e+06	3.1424e+06	5.07946e+08
11	32768	2.08252e+06	2.22899e+06	3.68921e+06	5.65011e+08
12	65536	2.53633e+06	2.89094e+06	4.59208e+06	6.98317e+08
13	131072	3.19734e+06	3.85052e+06	5.65221e+06	8.61273e+08
14	262144	3.71864e+06	4.14368e+06	5.37564e+06	8.58197e+08
15	524288	3.44482e+06	4.04661e+06	5.06833e+06	7.61204e+08
16	1048576	3.26373e+06	3.95621e+06	4.76695e+06	6.61088e+08
17	2097152	2.62615e+06	2.88622e+06	3.95626e+06	4.22348e+08
18	4194304	1.97432e+06	2.13291e+06	3.93873e+06	2.88937e+08
19	8388608	1.61053e+06	1.88982e+06	3.92961e+06	2.57375e+08
20	16777216	1.40032e+06	1.73262e+06	3.84708e+06	2.18478e+08
21	33554432	1.34795e+06	1.1823e+06	3.76085e+06	1.67113e+08
22	67108864	1.32271e+06	1.54134e+06	3.59428e+06	1.32429e+08
#scale	vertices	K0	K1	K2	K3
# C++ run on 2015-10-31 19:34:34 by bradley@ip-172-31-14-15
10	16384	1.82302e+06	1.78279e+06	3.13299e+06	5.12664e+08
11	32768	2.07496e+06	2.22382e+06	3.69344e+06	5.63843e+08
12	65536	2.53326e+06	2.89374e+06	4.58141e+06	6.98835e+08
13	131072	3.23094e+06	3.94486e+06	5.65728e+06	8.59663e+08
14	262144	3.69563e+06	4.13607e+06	5.33585e+06	8.45934e+08
15	524288	3.4421e+06	4.026e+06	5.05322e+06	7.59495e+08
16	1048576	3.2469e+06	3.94157e+06	4.76316e+06	6.6187e+08
17	2097152	2.68863e+06	2.9441e+06	4.02162e+06	4.09118e+08
18	4194304	1.93704e+06	2.25481e+06	3.94896e+06	2.86699e+08
19	8388608	1.63066e+06	1.90615e+06	3.92162e+06	2.56687e+08
20	16777216	1.56249e+06	1.81664e+06	3.82792e+06	2.18713e+08
21	33554432	1.40472e+06	1.62784e+06	3.74582e+06	1.66651e+08
22	67108864	1.1522e+06	1.55504e+06	3.59465e+06	1.34353e+08
#scale	vertices	K0	K1	K2	K3
# C++ run on 2015-10-31 19:38:30 by bradley@ip-172-31-14-15
10	16384	1.82595e+06	1.78726e+06	3.10346e+06	4.25008e+08
11	32768	2.08929e+06	2.22449e+06	3.68928e+06	5.66113e+08
12	65536	2.54283e+06	2.89891e+06	4.58798e+06	7.07122e+08
13	131072	3.21795e+06	3.84507e+06	5.63371e+06	9.00721e+08
14	262144	3.74264e+06	4.1915e+06	5.4509e+06	8.49608e+08
15	524288	3.4861e+06	4.07141e+06	5.10891e+06	7.9067e+08
16	1048576	3.27945e+06	3.98352e+06	4.84359e+06	6.75654e+08
17	2097152	2.69161e+06	2.85059e+06	4.03726e+06	4.07306e+08
18	4194304	1.97215e+06	2.03303e+06	3.95015e+06	2.84802e+08
19	8388608	1.56547e+06	1.65316e+06	3.9301e+06	2.57251e+08
20	16777216	1.52238e+06	1.48001e+06	3.85018e+06	2.20088e+08
21	33554432	1.3559e+06	1.47488e+06	3.75997e+06	1.67231e+08
22	67108864	1.25938e+06	1.51139e+06	3.60751e+06	1.33302e+08
